,,,,SIDE 1,,,,,,,,,,,SIDE 1,,,,,,,,,,,Wire,,,,,COGS
SKU,IPN,Pin Count,Pack Size,Family 1,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Family 2,Connector,MPN,Cost,Qty,Ext Cost,Crimp,MPN,Cost,Qty,Ext Cost,Spec,Cost per Foot,Length,Qty (feet),Ext Cost,Material
MPA-MFJ-2p-F-F-6in-2pk,mighty-map-nod,2,2,MFJ,"(MFJ) 2x1 Conn, Rec",0469920210,$0.25,2,$0.49,(MFJ) F Crimp for Rec,0039000038,$0.03,4,$0.13,MFJ,"(MFJ) 2x1 Conn, Rec",0469920210,$0.25,2,$0.49,(MFJ) F Crimp for Rec,0039000038,$0.03,4,$0.13,"18 AWG, Silicone, Black",$0.15,6in,2.2,$0.33,$1.57
MPA-MFJ-2p-F-F-12in-2pk,moody-milk-open,2,2,MFJ,"(MFJ) 2x1 Conn, Rec",0469920210,$0.25,2,$0.49,(MFJ) F Crimp for Rec,0039000038,$0.03,4,$0.13,MFJ,"(MFJ) 2x1 Conn, Rec",0469920210,$0.25,2,$0.49,(MFJ) F Crimp for Rec,0039000038,$0.03,4,$0.13,"18 AWG, Silicone, Black",$0.15,12in,4.4,$0.65,$1.90
MPA-MFJ-4p-F-F-6in-2pk,mushy-moon-paint,4,2,MFJ,"(MFJ) 2x2 Conn, Rec",0469920410,$0.40,2,$0.80,(MFJ) F Crimp for Rec,0039000038,$0.03,8,$0.26,MFJ,"(MFJ) 2x2 Conn, Rec",0469920410,$0.40,2,$0.80,(MFJ) F Crimp for Rec,0039000038,$0.03,8,$0.26,"18 AWG, Silicone, Black",$0.15,6in,4.4,$0.65,$2.76
MPA-MFJ-4p-F-F-12in-2pk,narrow-mouse-peel,4,2,MFJ,"(MFJ) 2x2 Conn, Rec",0469920410,$0.40,2,$0.80,(MFJ) F Crimp for Rec,0039000038,$0.03,8,$0.26,MFJ,"(MFJ) 2x2 Conn, Rec",0469920410,$0.40,2,$0.80,(MFJ) F Crimp for Rec,0039000038,$0.03,8,$0.26,"18 AWG, Silicone, Black",$0.15,12in,8.8,$1.30,$3.41
MPA-MFJ-6p-F-F-6in-2pk,nutty-mouth-pick,6,2,MFJ,"(MFJ) 2x3 Conn, Rec",0469920610,$0.52,2,$1.03,(MFJ) F Crimp for Rec,0039000038,$0.03,12,$0.38,MFJ,"(MFJ) 2x3 Conn, Rec",0469920610,$0.52,2,$1.03,(MFJ) F Crimp for Rec,0039000038,$0.03,12,$0.38,"18 AWG, Silicone, Black",$0.15,6in,6.6,$0.98,$3.81
MPA-MFJ-6p-F-F-12in-2pk,polite-nest-pile,6,2,MFJ,"(MFJ) 2x3 Conn, Rec",0469920610,$0.52,2,$1.03,(MFJ) F Crimp for Rec,0039000038,$0.03,12,$0.38,MFJ,"(MFJ) 2x3 Conn, Rec",0469920610,$0.52,2,$1.03,(MFJ) F Crimp for Rec,0039000038,$0.03,12,$0.38,"18 AWG, Silicone, Black",$0.15,12in,13.2,$1.95,$4.79
MPA-MFJ-8p-F-F-6in-2pk,rapid-night-pinch,8,2,MFJ,"(MFJ) 2x4 Conn, Rec",0469920810,$0.36,2,$0.72,(MFJ) F Crimp for Rec,0039000038,$0.03,16,$0.51,MFJ,"(MFJ) 2x4 Conn, Rec",0469920810,$0.36,2,$0.72,(MFJ) F Crimp for Rec,0039000038,$0.03,16,$0.51,"18 AWG, Silicone, Black",$0.15,6in,8.8,$1.30,$3.77
MPA-MFJ-8p-F-F-12in-2pk,sandy-nose-plant,8,2,MFJ,"(MFJ) 2x4 Conn, Rec",0469920810,$0.36,2,$0.72,(MFJ) F Crimp for Rec,0039000038,$0.03,16,$0.51,MFJ,"(MFJ) 2x4 Conn, Rec",0469920810,$0.36,2,$0.72,(MFJ) F Crimp for Rec,0039000038,$0.03,16,$0.51,"18 AWG, Silicone, Black",$0.15,12in,17.6,$2.60,$5.07
MPA-MFJ-2p-F-M-6in-2pk,shiny-nut-play,2,2,MFJ,"(MFJ) 2x1 Conn, Rec",0469920210,$0.25,2,$0.49,(MFJ) F Crimp for Rec,0039000038,$0.03,4,$0.13,MFJ,"(MFJ) 2x1 Conn, Plug",0469930211,$0.54,2,$1.09,(MFJ) M Crimp for Plug,0039000040,$0.04,4,$0.15,"18 AWG, Silicone, Black",$0.15,6in,2.2,$0.33,$2.19
