,,,,,,,,,Labor Cost,,,,,,FBA Costs,,,,,
SKU,IPN,Pin Count,Pack Size,Sale Price,Delivered Cost,Profit Margin,Packaging,Parts Cost,Labor Total,Cut,Crimp,Insert,QC,Pack,FBA Total,Referral,Fulfillment,Inbounding,Storage,Labor Time
MPA-MFJ-2p-F-F-6in-2pk,mighty-map-nod,2,2,$10.99,$7.13,35.12%,$0.30,$1.57,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.26,$1.65,$3.06,$0.30,$0.25,0.09
MPA-MFJ-2p-F-F-12in-2pk,moody-milk-open,2,2,$10.99,$7.46,32.16%,$0.30,$1.90,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.26,$1.65,$3.06,$0.30,$0.25,0.09
MPA-MFJ-4p-F-F-6in-2pk,mushy-moon-paint,4,2,$14.99,$8.92,40.49%,$0.30,$2.76,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$5.86,$2.25,$3.06,$0.30,$0.25,0.16
MPA-MFJ-4p-F-F-12in-2pk,narrow-mouse-peel,4,2,$15.99,$9.72,39.21%,$0.30,$3.41,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$6.01,$2.40,$3.06,$0.30,$0.25,0.16
MPA-MFJ-6p-F-F-6in-2pk,nutty-mouth-pick,6,2,$18.99,$10.57,44.34%,$0.30,$3.81,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.46,$2.85,$3.06,$0.30,$0.25,0.23
MPA-MFJ-6p-F-F-12in-2pk,polite-nest-pile,6,2,$19.99,$11.70,41.49%,$0.30,$4.79,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.61,$3.00,$3.06,$0.30,$0.25,0.23
MPA-MFJ-8p-F-F-6in-2pk,rapid-night-pinch,8,2,$20.99,$10.83,48.42%,$0.30,$3.77,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$6.76,$3.15,$3.06,$0.30,$0.25,0.29
MPA-MFJ-8p-F-F-12in-2pk,sandy-nose-plant,8,2,$22.99,$12.43,45.94%,$0.30,$5.07,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$7.06,$3.45,$3.06,$0.30,$0.25,0.29
MPA-MFJ-2p-F-M-6in-2pk,shiny-nut-play,2,2,$11.99,$7.90,34.14%,$0.30,$2.19,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.41,$1.80,$3.06,$0.30,$0.25,0.09
MPA-MFJ-2p-F-M-12in-2pk,skinny-ocean-point,2,2,$11.99,$8.22,31.42%,$0.30,$2.51,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.41,$1.80,$3.06,$0.30,$0.25,0.09
MPA-MFJ-4p-F-M-6in-2pk,sleepy-pan-pour,4,2,$14.99,$8.89,40.68%,$0.30,$2.73,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$5.86,$2.25,$3.06,$0.30,$0.25,0.16
MPA-MFJ-4p-F-M-12in-2pk,slim-pear-pull,4,2,$15.99,$9.69,39.38%,$0.30,$3.38,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$6.01,$2.40,$3.06,$0.30,$0.25,0.16
MPA-MFJ-6p-F-M-6in-2pk,smoky-pen-push,6,2,$18.99,$10.92,42.52%,$0.30,$4.16,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.46,$2.85,$3.06,$0.30,$0.25,0.23
MPA-MFJ-6p-F-M-12in-2pk,snappy-pencil-race,6,2,$19.99,$12.04,39.76%,$0.30,$5.13,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.61,$3.00,$3.06,$0.30,$0.25,0.23
MPA-MFJ-8p-F-M-6in-2pk,snowy-pig-read,8,2,$20.99,$11.11,47.09%,$0.30,$4.05,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$6.76,$3.15,$3.06,$0.30,$0.25,0.29
MPA-MFJ-8p-F-M-12in-2pk,snug-plane-ride,8,2,$22.99,$12.71,44.73%,$0.30,$5.35,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$7.06,$3.45,$3.06,$0.30,$0.25,0.29
MPA-MFJ-2p-M-M-6in-2pk,soapy-plant-rinse,2,2,$11.99,$8.51,28.99%,$0.30,$2.81,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.41,$1.80,$3.06,$0.30,$0.25,0.09
MPA-MFJ-2p-M-M-12in-2pk,spicy-plate-roll,2,2,$12.99,$8.99,30.80%,$0.30,$3.13,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.56,$1.95,$3.06,$0.30,$0.25,0.09
MPA-MFJ-4p-M-M-6in-2pk,spotty-pond-run,4,2,$14.99,$8.86,40.87%,$0.30,$2.70,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$5.86,$2.25,$3.06,$0.30,$0.25,0.16
MPA-MFJ-4p-M-M-12in-2pk,steep-pot-sail,4,2,$15.99,$9.66,39.56%,$0.30,$3.36,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$6.01,$2.40,$3.06,$0.30,$0.25,0.16
MPA-MFJ-6p-M-M-6in-2pk,stiff-queen-scoop,6,2,$18.99,$11.26,40.70%,$0.30,$4.50,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.46,$2.85,$3.06,$0.30,$0.25,0.23
MPA-MFJ-6p-M-M-12in-2pk,stormy-rabbit-scratch,6,2,$20.99,$12.54,40.27%,$0.30,$5.48,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.76,$3.15,$3.06,$0.30,$0.25,0.23
MPA-MFJ-8p-M-M-6in-2pk,sunny-rain-scream,8,2,$21.99,$11.54,47.54%,$0.30,$4.33,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$6.91,$3.30,$3.06,$0.30,$0.25,0.29
MPA-MFJ-8p-M-M-12in-2pk,tidy-ring-see,8,2,$22.99,$12.99,43.51%,$0.30,$5.63,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$7.06,$3.45,$3.06,$0.30,$0.25,0.29
MPA-UF3-2p-F-F-6in-2pk,tasty-river-sew,2,2,$10.99,$7.03,36.00%,$0.30,$1.47,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.26,$1.65,$3.06,$0.30,$0.25,0.09
MPA-UF3-2p-F-F-12in-2pk,tiny-road-shake,2,2,$10.99,$7.25,34.00%,$0.30,$1.69,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.26,$1.65,$3.06,$0.30,$0.25,0.09
MPA-UF3-4p-F-F-6in-2pk,vague-rock-shout,4,2,$13.99,$8.26,40.98%,$0.30,$2.25,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$5.71,$2.10,$3.06,$0.30,$0.25,0.16
MPA-UF3-4p-F-F-12in-2pk,wavy-roof-sing,4,2,$14.99,$8.85,40.98%,$0.30,$2.69,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$5.86,$2.25,$3.06,$0.30,$0.25,0.16
MPA-UF3-6p-F-F-6in-2pk,weird-room-sip,6,2,$17.99,$9.70,46.07%,$0.30,$3.09,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.31,$2.70,$3.06,$0.30,$0.25,0.23
MPA-UF3-6p-F-F-12in-2pk,whiny-root-sit,6,2,$18.99,$10.51,44.64%,$0.30,$3.75,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.46,$2.85,$3.06,$0.30,$0.25,0.23
MPA-UF3-8p-F-F-6in-2pk,windy-rose-ski,8,2,$20.99,$10.90,48.07%,$0.30,$3.84,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$6.76,$3.15,$3.06,$0.30,$0.25,0.29
MPA-UF3-8p-F-F-12in-2pk,zany-rug-skip,8,2,$21.99,$11.93,45.75%,$0.30,$4.72,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$6.91,$3.30,$3.06,$0.30,$0.25,0.29
MPA-UF3-2p-F-M-6in-2pk,zesty-sand-sleep,2,2,$10.99,$7.05,35.83%,$0.30,$1.49,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.26,$1.65,$3.06,$0.30,$0.25,0.09
MPA-UF3-2p-F-M-12in-2pk,alert-school-slide,2,2,$10.99,$7.27,33.83%,$0.30,$1.71,$2.75,$0.33,$0.67,$1.00,$0.50,$0.25,$5.26,$1.65,$3.06,$0.30,$0.25,0.09
MPA-UF3-4p-F-M-6in-2pk,bitter-seed-smile,4,2,$13.99,$8.28,40.78%,$0.30,$2.28,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$5.71,$2.10,$3.06,$0.30,$0.25,0.16
MPA-UF3-4p-F-M-12in-2pk,bland-sheep-snore,4,2,$14.99,$8.87,40.80%,$0.30,$2.72,$4.75,$0.67,$1.33,$2.00,$0.50,$0.25,$5.86,$2.25,$3.06,$0.30,$0.25,0.16
MPA-UF3-6p-F-M-6in-2pk,blunt-shirt-snort,6,2,$17.99,$9.70,46.07%,$0.30,$3.09,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.31,$2.70,$3.06,$0.30,$0.25,0.23
MPA-UF3-6p-F-M-12in-2pk,boiling-shoe-snow,6,2,$18.99,$10.51,44.64%,$0.30,$3.75,$6.75,$1.00,$2.00,$3.00,$0.50,$0.25,$6.46,$2.85,$3.06,$0.30,$0.25,0.23
MPA-UF3-8p-F-M-6in-2pk,bouncy-shop-soak,8,2,$20.99,$10.90,48.07%,$0.30,$3.84,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$6.76,$3.15,$3.06,$0.30,$0.25,0.29
MPA-UF3-8p-F-M-12in-2pk,broken-sky-speak,8,2,$21.99,$11.93,45.75%,$0.30,$4.72,$8.75,$1.33,$2.67,$4.00,$0.50,$0.25,$6.91,$3.30,$3.06,$0.30,$0.25,0.29
